Trail,Minimum,Maximum
Agua_Canyon_Connect_Trail_St,2480.1054000000004,2746.7063999999955
Bristlecone_Point_Loop_Trail,2725.6214000000036,2779.202900000004
Bryce_Canyon_Overlook_StackP,2518.214200000002,2535.969100000002
Bull_Rush_Hollow_Trail_Stack,2204.918300000005,2274.8705999999947
Fairyland_Loop_Spur_Trail_St,2252.7758999999933,2255.8987999999954
Fairyland_Loop_Trail_StackPr,2179.578099999999,2434.541299999997
Farview_Point_Trail_StackPro,2677.974700000006,2690.575100000002
Horse_Trail_StackProfile,2224.9073999999964,2428.9489999999932
Inspiration_Point_StackProfi,2479.7862000000023,2487.7562000000034
Mossy_Cave_Trail_StackProfile,2080.266499999998,2120.143400000001
Multi_Use_Path_StackProfile,2336.6514000000025,2484.3766000000032
Navajo_Loop_to_Peek_A_Boo_Co,2255.1821999999956,2282.635899999994
Navajo_Loop_Trail_StackProfi,2281.2151000000013,2439.6542000000045
Paria_View_Trail_StackProfil,2469.6254000000044,2495.748200000002
Peek_A_Boo_Loop_Trail_StackP,2265.504799999995,2375.6946000000025
Queens_Garden_Trail_StackPro,2260.2167000000045,2438.642200000002
Queens_GardenTrail_Segment_S,2319.0313000000024,2325.4910999999993
Riggs_Spring_Loop_Trail_Stac,2273.2734000000055,2777.4465000000055
Rim_Trail_StackProfile,2370.4045999999944,2552.910300000003
Sheep_Creek_Trail_StackProfi,2105.245999999999,2254.7899000000034
Sunrise_Point_Overlook_Acces,2419.2112999999954,2431.8386000000028
Sunset_Point_Overlook_StackP,2434.8928000000014,2440.3775000000023
Swamp_Canyon_Connect_Trail_S,2283.867299999998,2456.2639000000054
Swamp_Canyon_Loop_Trail_Stac,2254.7899000000034,2432.509699999995
Tower_Bridge_Trail_StackProf,2178.9619999999995,2205.663499999995
Tropic_Trail_StackProfile,2101.2194000000018,2265.504799999995
Under_the_Rim_Trail_Project_2,2063.524399999995,2725.652799999996
Whiteman_Ranch_Connecting_Tr,2499.953999999998,2650.2062000000005
Yovimpa_Point_Trail_StackPro,2755.723499999993,2777.8225999999995
